,PC1,PC2,tsne1,tsne2,time
E0_550,-1.1591138784454542,-0.15370416980780724,13.163597,16.610601,0.5505505505505506
E1_562,-0.36605678374122874,-1.4025475389077746,66.18295,-7.6869483,0.5625625625625625
E2_14,0.0505790214642768,2.045911534835277,-53.852596,-21.318365,0.014014014014014014
E3_241,-1.2426929502539616,-0.1293493964104492,18.668806,46.47463,0.24124124124124124
E4_464,-0.7666320052729038,-1.1834320032078105,-6.602909,-7.3247614,0.4644644644644645
E5_509,-0.9444101425735466,-0.9740232021268269,59.70326,-2.6246932,0.5095095095095095
E6_490,-1.0886410795590749,-0.9250889440686121,13.144861,12.6558075,0.4904904904904905
E7_421,-1.5325890120724797,-0.5234589172473664,31.95079,18.258194,0.4214214214214214
E8_200,-0.5398820071287994,0.6382606761327437,-28.304781,51.849083,0.2002002002002002
E9_898,2.632427820635916,-0.33276989056018397,1.4241725,-65.421875,0.8988988988988988
E10_339,-1.1706057666172716,-0.034135868164100885,19.958902,59.56266,0.33933933933933935
E11_6,0.20070483027776434,2.0316142730287066,-55.685932,-24.976511,0.006006006006006006
E12_981,2.7670420717567206,-0.3265769375479823,-10.303624,-64.16548,0.9819819819819819
E13_385,-1.3758782615709209,-0.45598375803389934,15.435527,8.59474,0.38538538538538536
E14_68,-0.41290319024961614,1.6903232682720386,-62.144714,14.751274,0.06806806806806807
E15_557,-0.8945420433563882,-0.558758400548586,55.295944,4.267865,0.5575575575575575
E16_818,0.08601128071499577,-0.8038164033778397,22.820236,-33.566273,0.8188188188188188
E17_166,-0.7289975144982469,0.9402095933901267,-22.157358,40.591248,0.16616616616616617
E18_537,-0.4003778659710893,-1.854020964590694,-17.437073,-9.407273,0.5375375375375375
E19_434,-1.088744456123991,-0.12803847347533523,7.1482344,55.596264,0.4344344344344344
E20_307,-1.2942396281337682,-0.5165873737892522,36.920452,44.768303,0.3073073073073073
E21_658,-0.7402296825169273,-0.8976349836065792,61.959114,-0.024685021,0.6586586586586587
E22_48,-0.08163759486824965,2.0421101690593786,-47.108246,-14.925887,0.04804804804804805
E23_344,-1.1060751619575946,-0.3179229905275461,34.98083,23.688278,0.34434434434434436
E24_334,-0.7801181717287882,0.7817852509209317,-35.69065,44.861557,0.33433433433433435
E25_990,2.8779583110861022,0.16303680978669818,-16.355581,-62.45014,0.990990990990991
E26_327,-1.2913627347900332,-0.37606063980326626,34.865246,40.874275,0.32732732732732733
E27_840,-0.21227100340036364,-0.9651144735842238,-2.14425,-10.2347975,0.8408408408408409
E28_736,-0.13181197857671414,-1.2586542425107146,-9.152423,-11.055283,0.7367367367367368
E29_817,-1.2598974614224534,-1.2649638991480454,11.385074,3.0431957,0.8178178178178178
E30_363,-1.3327697711749054,-0.1677720656287629,16.325253,19.637863,0.3633633633633634
E31_94,-0.2757874463836806,1.5535529311733138,-32.924263,22.847256,0.0940940940940941
