Species	Type
GF	protein
RTK	protein
Grb2	protein
Ras	protein
RAF	protein
mTORC2	protein
PI3K	protein
PIP3	protein
PDK1	protein
AKTB	protein
p110H	protein
PI3KH	protein
AKTH	protein
FoxO3	protein
PLCgamma	protein
NeddL4	protein
FoxO1	protein
p21mRNA	protein
TSC2	protein
PRAS40	protein
Rheb	protein
mTORC1	protein
S6K	protein
eIF4E	protein
GSK3	protein
p21	protein
pRB	protein
p27Kip1	protein
Myc	protein
CyclinD1	protein
E2F1	protein
CyclinE	protein
ORC	protein
Cdc6	protein
Cdt1	protein
PreRC	protein
geminin	protein
CyclinAmRNA	protein
Emi1	protein
FoxM1	protein
Cdc25A	protein
CyclinA	protein
Wee1	protein
UbcH10	protein
CyclinB	protein
Cdc25B	protein
Plk1	protein
Cdc25C	protein
Cdk1	protein
pAPC	protein
Cdc20	protein
Cdh1	protein
Replication	protein
f4NDNA	protein
UKinetochores	protein
Mad2	protein
AKinetochores	protein
Plk1H	protein
Ect2	protein
Casp8	protein
Casp2	protein
MCL1	protein
BCLXL	protein
BCL2	protein
BAD	protein
BIK	protein
BIM	protein
BID	protein
BAK	protein
BAX	protein
CytoC	protein
SMAC	protein
IAPs	protein
Casp9	protein
Casp3	protein
CAD	protein
ATR	protein
CHK1	protein
Ca2	protein
DAG	protein
DR45	protein
ERK	protein
GFHigh	protein
IP3	protein
MEK	protein
SOS	protein
Trail	protein
