,tsne1,tsne2,time
E0_1297,12.743191,-23.13835,0.9270907791279486
E1_206,-15.303001,22.801725,0.1472480343102216
E2_1030,6.234893,-27.68241,0.7362401715511079
E3_36,-16.377459,69.68961,0.02573266619013581
E4_38,-16.248373,67.77623,0.027162258756254467
E5_323,-6.5839806,25.437052,0.23087919942816298
E6_348,-11.107234,37.61095,0.24874910650464618
E7_1279,3.6064055,-26.664667,0.9142244460328807
E8_650,-10.959811,-23.332632,0.46461758398856323
E9_521,-5.3362613,15.252866,0.37240886347390995
E10_756,1.8556343,-4.97673,0.540385989992852
E11_422,-19.40944,20.698671,0.30164403145103647
E12_1263,16.60872,-5.445773,0.9027877055039314
E13_623,-4.8216214,-17.41257,0.4453180843459614
E14_708,26.710066,-7.6512012,0.5060757684060043
E15_305,-10.947246,15.036505,0.21801286633309508
E16_1108,9.401121,-29.606281,0.7919942816297355
E17_318,-11.695555,28.615875,0.22730521801286632
E18_1395,13.256323,4.4360213,0.9971408148677627
E19_1323,-2.4768062,-31.380701,0.9456754824874911
E20_1078,-3.8500965,-24.788866,0.7705503931379557
E21_218,-21.570045,46.056805,0.15582558970693353
E22_710,-7.976501,-0.57946676,0.507505360972123
E23_804,25.973139,-5.0381556,0.5746962115796997
E24_83,-19.741882,50.633575,0.059328091493924234
E25_698,3.977598,-41.21839,0.498927805575411
E26_1038,8.564469,-21.00136,0.7419585418155825
E27_966,-11.470842,-32.130146,0.6904932094353109
E28_1242,18.059244,-16.10549,0.8877769835596855
E29_529,26.157951,-1.2480466,0.3781272337383846
E30_792,16.1364,-33.326935,0.5661186561829878
E31_601,24.361532,-7.302197,0.4295925661186562
E32_529,-1.9235389,30.920925,0.3781272337383846
E33_1189,14.217612,-23.51451,0.8498927805575411
E34_676,1.8248352,-1.6533377,0.4832022873481058
E35_900,1.2836456,-25.870901,0.6433166547533953
E36_565,-29.479507,-0.86234415,0.4038598999285204
E37_940,10.276651,-3.856333,0.6719085060757684
E38_893,23.761845,-8.163715,0.63831308077198
E39_545,-1.9824437,-16.326231,0.3895639742673338
E40_462,-11.806206,24.746435,0.3302358827734096
E41_35,-16.230305,71.90926,0.02501786990707648
E42_1238,10.367984,-33.961742,0.8849177984274482
E43_825,-5.005241,8.748592,0.5897069335239457
E44_516,19.991337,-9.101864,0.3688348820586133
E45_537,-18.329912,14.0002775,0.38384560400285916
E46_221,-33.2521,40.53827,0.1579699785561115
E47_153,-28.056946,48.84137,0.1093638313080772
E48_492,7.4905972,18.250502,0.3516797712651894
E49_1102,16.83735,-21.433907,0.7877055039313795
E50_1066,6.9808316,-14.800768,0.7619728377412437
